ds,simulation,set,value
2000-12-01,sim_10,train,71443.91867575188
2001-01-01,sim_10,train,101682.76850010116
2001-02-01,sim_10,train,106280.59304118778
2001-03-01,sim_10,train,90122.15976004925
2001-04-01,sim_10,train,74611.60802674008
2001-05-01,sim_10,train,61297.0955314978
2001-06-01,sim_10,train,55226.42246462552
2001-07-01,sim_10,train,72042.41410078539
2001-08-01,sim_10,train,70865.4270206765
2001-09-01,sim_10,train,54929.62469349467
2001-10-01,sim_10,train,52584.84178380487
2001-11-01,sim_10,train,54731.7260421485
2001-12-01,sim_10,train,61081.70971263589
2002-01-01,sim_10,train,90708.65470946839
2002-02-01,sim_10,train,86574.2840486211
2002-03-01,sim_10,train,70837.85196296962
2002-04-01,sim_10,train,55746.20756096767
2002-05-01,sim_10,train,40875.266325864155
2002-06-01,sim_10,train,49492.18054943373
